Designator,Mid X,Mid Y,Rotation,Layer
BOARD_MOUNT_1,36.879999,41.55,297.0,top
BOARD_MOUNT_2,36.8,11.909289,297.0,top
C1,33.3425,26.729289,270.0,bottom
C10,6.720372,29.282892,0.0,bottom
C11,6.6,25.8,0.0,bottom
C12,7.1,10.7,180.0,bottom
C13,17.0,17.05,270.0,bottom
C14,4.1,17.5,0.0,bottom
C2,18.1,28.0,0.0,bottom
C3,47.0,26.629289,180.0,bottom
C4,24.4,43.761668,270.0,bottom
C5,9.3,35.1,0.0,bottom
C6,2.7,34.0,0.0,bottom
C7,4.8,40.529289,270.0,bottom
C8,12.7,47.629289,0.0,bottom
C9,7.1,50.229289,90.0,bottom
D1,20.73,48.829289,0.0,bottom
D2,28.555686,39.229289,180.0,bottom
D3,36.8,11.929289,0.0,top
D4,36.9,41.529289,180.0,top
GAIN1,6.025,45.425,270.0,top
Q1,50.7,35.729289,270.0,bottom
R1,18.7,24.125,90.0,bottom
R10,18.67,41.629289,180.0,bottom
R11,3.9,21.825,90.0,bottom
R12,16.1,9.380996,90.0,bottom
R13,10.575,17.2,0.0,bottom
R14,50.075,42.129289,0.0,bottom
R2,15.7,24.115,90.0,bottom
R3,40.205392,25.318256,90.0,bottom
R4,24.77,26.629289,180.0,bottom
R5,25.975,49.029289,0.0,bottom
R6,3.125,52.6,180.0,bottom
R7,1.8,39.075,270.0,bottom
R8,10.825,38.129289,180.0,bottom
R9,14.2,44.629289,0.0,bottom
TONE1,6.025,27.3125,270.0,top
U1,19.59,34.829289,90.0,bottom
V1,36.879999,41.55,180.0,top
V2,36.8,11.909289,270.0,top
VOL.1,6.025,9.2,270.0,top
